train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,(Critic) Training Loss,Q Predictions,Q Targets,Actor Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,-2.4785872,0.15843594,-2.4785872,-2.6370232,-2.3201513,-2.8266048,1.7260941,-2.4957285,-9.7270775,-1.193116,1,13.628589153289797,0.0,0.0,0.0,0.0,-0.012331281,0.03861384,-0.009515375,-0.2458329,0.202559,-0.014062709,0.07359597,-0.009515383,-0.53352433,0.3457896,-2.4785872,0
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,-3.0879636,0.44344747,-3.0879636,-3.531411,-2.644516,-2.6674745,0.6803146,-2.6553116,-4.168926,-1.5618849,10001,40.64250636100769,0.0,0.0,0.0,0.0,-0.015363001,0.06005242,-0.009515371,-0.46164116,0.2719681,-0.013271017,0.04885422,-0.00951538,-0.46612307,0.29153487,-2.4785872,10000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,7022.143,178.18701,7022.143,7200.33,6843.956,7805.05,999.7994,7245.4473,9601.048,6679.5273,20001,132.08862471580505,0.0447141453623771,4.997335,5.0374584,-5.437766551971436,-34.936035,14.043508,-40.37935,-50.584927,-0.0029801263,-38.83109,13.305746,-46.601143,-51.13403,0.43976158,-2.4785872,20000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,47318.13,12.4765625,47318.13,47330.605,47305.652,47249.004,71.594345,47281.766,47334.406,47099.78,30001,222.28546500205996,0.039517905563116,6.488932,6.4908056,-7.169887065887451,235.41357,2.3838012,233.69803,238.2997,225.03093,235.06969,7.58268,233.75725,238.37915,-10.143601,-2.4785872,30000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,61831.184,139.88672,61831.184,61971.07,61691.297,61908.58,404.7482,61908.004,62555.586,60954.78,40001,313.26642179489136,0.0241535175591707,5.9296775,5.937834,-6.6903886795043945,307.6178,41.63144,321.26575,329.4459,-86.93147,308.00287,41.30422,316.80917,329.61554,-1.3162515,-2.4785872,40000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,116397.42,332.94922,116397.42,116730.375,116064.48,116617.62,165.86484,116688.46,116752.09,116158.92,50001,414.06629633903503,0.0300019551068544,-4.5686817,-4.5783415,4.337708950042725,579.0917,31.409512,579.8628,595.6072,-15.04387,580.1871,17.742859,585.32996,595.82825,-46.937176,-2.4785872,50000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,156005.11,10.328125,156005.11,156015.44,155994.78,155795.77,311.57034,155982.61,156022.38,155211.94,60001,505.8176510334015,0.0261143408715724,-1.7968917,-1.787188,1.3830862045288086,776.1449,16.742287,790.1703,793.54767,757.8924,775.10333,30.637836,781.444,793.7885,-4.975554,-2.4785872,60000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,195076.4,14.773439,195076.4,195091.19,195061.64,194970.42,315.0937,195101.8,195153.6,194165.97,70001,598.3174669742584,0.0329106450080871,-9.300802,-9.290127,9.166949272155762,970.52936,20.947433,968.79706,992.3589,948.1564,970.00214,32.02346,984.54614,992.61676,-33.29084,-2.4785872,70000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,215014.22,75.90625,215014.22,215090.12,214938.31,214918.55,326.1132,215073.4,215117.5,214087.0,80001,690.3549356460571,0.0443018600344657,0.11536501,0.16081028,-0.6406542658805847,1069.7225,24.198862,1069.8573,1093.9353,919.7248,1069.2466,34.47224,1087.1167,1094.081,-68.72249,-2.4785872,80000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,215807.67,496.35938,215807.67,216304.03,215311.31,216029.67,337.285,216237.23,216323.9,215240.12,90001,782.2708299160004,0.0186172798275947,2.4272535,2.4035254,-3.0628256797790527,1073.67,52.46091,1075.6584,1099.8301,128.4038,1074.7744,36.662354,1072.6293,1099.8395,-62.22051,-2.4785872,90000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,216068.1,14.148439,216068.1,216082.23,216053.94,215878.72,284.8614,216011.11,216084.53,215171.44,100001,882.513843536377,0.0107041988521814,6.2560506,6.247122,-7.061651706695557,1074.9656,23.95036,1096.8792,1099.5745,1049.5554,1074.0236,33.468548,1051.9781,1099.7694,185.90288,-2.4785872,100000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,227397.97,14.03125,227397.97,227412.0,227383.94,227261.72,292.49075,227390.61,227424.67,226386.62,110001,973.5728285312651,0.0196416415274143,-2.5885348,-2.5986538,2.1451175212860107,1131.3331,24.379854,1153.9586,1156.522,1105.2505,1130.6553,32.758762,1153.7249,1156.5607,141.1473,-2.4785872,110000
