train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,-2.4785872,0.15843594,-2.4785872,-2.6370232,-2.3201513,-2.8266048,1.7260941,-2.4957285,-9.7270775,-1.193116,1,13.11355471611023,-0.012331281,0.03861384,-0.009515375,-0.2458329,0.202559,-0.014062709,0.07359597,-0.009515383,-0.53352433,0.3457896,-2.4785872,0
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,15354.513,220.4248,15354.513,15574.9375,15134.088,15062.054,326.60004,15189.821,15503.438,14333.207,10001,113.51210594177246,-76.39062,15.234174,-81.812614,-89.944244,-3.0835068,-74.9356,15.702384,-78.0606,-90.36077,0.38963172,-2.4785872,10000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,124283.91,2081.957,124283.91,126365.87,122201.95,125690.664,2423.7454,124998.56,130150.9,121494.7,20001,271.7425928115845,618.32794,251.52,760.3392,813.4583,-8.905508,625.3267,245.00706,758.6228,813.5851,-6.888922,-2.4785872,20000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,35918.344,254.47461,35918.344,36172.82,35663.87,37249.742,2003.29,36801.523,40668.32,34155.83,30001,432.81209230422974,178.69824,62.05442,192.28937,307.0002,-4.866323,185.3221,60.022316,202.72545,435.6094,-1.2706892,-2.4785872,30000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,36451.227,1010.06836,36451.227,37461.297,35441.16,36409.555,3437.72,35392.17,46404.984,32145.576,40001,593.1099293231964,181.34938,77.61349,196.1106,378.6455,0.66844076,181.14206,83.17262,198.0195,483.73752,1.3498421,-2.4785872,40000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,24400.559,168.72656,24400.559,24569.285,24231.832,26763.217,4137.2744,24509.115,35657.184,22880.262,50001,761.4634871482849,121.39582,62.426994,130.30013,286.03625,-0.53066385,133.15033,62.43594,151.27983,291.8335,-0.5124331,-2.4785872,50000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,42670.727,1186.4297,42670.727,43857.156,41484.297,41502.594,1209.5211,41400.22,44469.65,39544.78,60001,920.061431646347,212.29219,67.95143,227.13142,567.4997,-0.45529756,206.48058,72.55548,214.18315,611.4774,0.6037502,-2.4785872,60000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,18532.666,216.13477,18532.666,18748.8,18316.531,22220.36,3726.4175,21160.055,28930.836,17995.2,70001,1080.4036660194397,-92.20231,50.027473,103.77441,273.80646,-0.15902723,110.54907,54.08687,123.2752,525.6376,0.701665,-2.4785872,70000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,22718.537,119.50586,22718.537,22838.043,22599.031,22599.777,725.58716,22669.797,24019.771,21398.3,80001,1240.2522811889648,113.02756,69.543846,121.59602,303.02905,-1.0368938,112.43668,69.8654,119.904724,389.9949,0.51147085,-2.4785872,80000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,31066.268,4546.701,31066.268,35612.97,26519.566,28958.715,4384.2163,27850.809,41843.586,24191.37,90001,1398.2174859046936,154.55855,125.87598,129.20996,652.4302,0.651049,144.07321,119.235634,122.118256,666.00037,-0.051707856,-2.4785872,90000
