train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,Train_AverageReturn,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
44,4,44,40,48,47.75581395348837,6.233696962946773,45.5,37,61,30,30,30,0,60,20.232557,28.365421,0,0,60,1,227.3668658733368,0.6818182,2.5205762,0,0,10,0.42366692,2.0262957,0,0,20,30,0
25.333333333333332,4.988876515698588,24,20,32,48.28235294117647,5.906351047724977,47,38,60,20,16.329931,20,0,40,20.470589,28.446272,0,0,60,10001,287.4758584499359,0.7894737,2.6965663,0,0,10,0.4239766,2.0149467,0,0,10,30,10000
45.5,12.5,45.5,33,58,47.95348837209303,6.088317017890075,46.5,38,61,50,10,50,40,60,19.534883,28.1155,0,0,60,20001,348.6924889087677,1.0989012,3.1275272,0,0,10,0.4073715,2.0252779,0,0,20,30,20000
39.5,22.5,39.5,17,62,47.906976744186046,6.296229781748395,46,37,60,25,25,25,0,50,20.232557,28.365421,0,0,60,30001,408.08074498176575,0.6329114,2.4348583,0,0,10,0.4223301,2.0232353,0,0,20,30,30000
42.5,0.5,42.5,42,43,47.883720930232556,5.869548147600783,46.5,38,59,30,30,30,0,60,20.232557,28.365421,0,0,60,40001,467.86269330978394,0.7058824,2.5613577,0,0,10,0.4225352,2.0356696,0,0,20,30,40000
57.5,46.5,57.5,11,104,74.625,40.29691697707336,59.5,18,194,215,185,215,30,400,222.85715,177.399,190,0,770,50001,594.0211377,3.7391305,5.014912,0,0,20,2.9863603,10.860668,0,0,200,30,50000
35,21.275964529643932,37,8,60,64.53030303030303,36.99435652987747,59,16,188,63.333332,44.969128,60,10,120,193.63637,169.8541,125,0,880,60001,687.9115458,1.8095238,3.8497875,0,0,10,3.0007043,10.999061,0,0,400,30,60000
103,0,103,103,103,59.22857142857143,33.95508437777825,54,14,154,320,0,320,320,320,222.85715,293.92,150,10,1680,70001,781.2353031635284,3.106796,6.390091,0,0,50,3.762663,22.435537,0,0,800,30,70000
29.666666666666668,22.939534045447004,27,3,59,73.28571428571429,37.722063591917305,59,24,196,70,50.990196,90,0,120,222.67857,240.98378,170,50,1840,80001,874.9273767471313,2.3595505,4.2459426,0,0,10,3.038499,15.837644,0,0,800,30,80000
68.5,62.5,68.5,6,131,69.93220339,32.761523736205476,62,17,188,615,615,615,0,1230,304.74576,301.65845,180,0,1680,90001,969.2537546157837,8.978102,41.981655,0,0,400,4.3577313,22.655975,0,0,800,30,90000
42.5,9.5,42.5,33,52,65.06349206349206,29.520976139855826,58,17,159,230,80,230,150,310,257.14285,221.89966,220,10,1230,100001,1066.1181523799896,5.4117646,4.9830165,10,0,10,3.9521835,14.573506,0,0,400,30,100000
56,52,56,4,108,72.31578947,41.32377842082234,58,11,201,810,810,810,0,1620,280.70175,291.9196,180,0,1470,110001,1161.7561614513397,14.464286,85.657524,0,0,800,3.8816109,17.627983,0,0,400,30,110000
71,0,71,71,71,68.14754098360656,35.99719299875066,60,7,201,270,0,270,270,270,211.31148,215.94986,150,0,1060,120001,1257.6582453250885,3.8028169,8.112969,0,0,60,3.1007938,10.981765,0,0,210,30,120000
